,2017-2022 NAICS to SIC Crosswalk,,
4111,485111,Local and Suburban Transit,Mixed Mode Transit Systems
4111,485112,Local and Suburban Transit,Commuter Rail Systems
4111,485113,Local and Suburban Transit,"Bus and Other Motor Vehicle TransitSystems"
4111,485119,Local and Suburban Transit,Other Urban Transit Systems
4131,485210,Intercity and Rural Bus Transportation,Interurban and Rural Bus Transportation
4121,485310,Taxicabs,Taxi Service
4899,485310,"Communication Services, Nec",Taxi Service
4119,485320,"Local Passenger Transportation, Nec",Limousine Service
4119,485410,"Local Passenger Transportation, Nec",School and Employee Bus Transportation
4151,485410,School Buses,School and Employee Bus Transportation
4141,485510,Local Bus Charter Service,Charter Bus Industry
4142,485510,"Bus Charter Service, Except Local",Charter Bus Industry
4119,485991,"Local Passenger Transportation, Nec",Special Needs Transportation
4111,485999,Local and Suburban Transit,"All Other Transit and Ground PassengerTransportation"
4119,485999,"Local Passenger Transportation, Nec","All Other Transit and Ground PassengerTransportation"
4612,486110,Crude Petroleum Pipelines,Pipeline Transportation of Crude Oil
4922,486210,Natural Gas Transmission,Pipeline Transportation of Natural Gas
4923,486210,Gas Transmission and Distribution,Pipeline Transportation of Natural Gas
4613,486910,Refined Petroleum Pipelines,"Pipeline Transportation of RefinedPetroleum Products"
4619,486990,"Pipelines, Nec",All Other Pipeline Transportation
4119,487110,"Local Passenger Transportation, Nec","Scenic and Sightseeing Transportation,Land"
4789,487110,"Transportation Services, Nec","Scenic and Sightseeing Transportation,Land"
7999,487110,"Amusement and Recreation, Nec","Scenic and Sightseeing Transportation,Land"
4489,487210,Water Passenger Transportation,"Scenic and Sightseeing Transportation,Water"
7999,487210,"Amusement and Recreation, Nec","Scenic and Sightseeing Transportation,Water"
7999,487990,"Amusement and Recreation, Nec","Scenic and Sightseeing Transportation,Other"
4581,488111,"Airports, Flying Fields, and Services",Air Traffic Control
9621,488111,"Regulation, Administration ofTransportation",Air Traffic Control
4581,488119,"Airports, Flying Fields, and Services",Other Airport Operations
4959,488119,"Sanitary Services, Nec",Other Airport Operations
7997,488119,Membership Sports and Recreation Clubs,Other Airport Operations
4581,488190,"Airports, Flying Fields, and Services","Other Support Activities for AirTransportation"
4013,488210,Switching and Terminal Services,Support Activities for Rail Transportation
4741,488210,Rental of Railroad Cars,Support Activities for Rail Transportation
4789,488210,"Transportation Services, Nec",Support Activities for Rail Transportation
4491,488310,Marine Cargo Handling,Port and Harbor Operations
4499,488310,"Water Transportation Services, Nec",Port and Harbor Operations
4491,488320,Marine Cargo Handling,Marine Cargo Handling
4492,488330,Towing and Tugboat Service,Navigational Services to Shipping
4499,488330,"Water Transportation Services, Nec",Navigational Services to Shipping
3731,488390,Shipbuilding and Repairing,"Other Support Activities for WaterTransportation"
4499,488390,"Water Transportation Services, Nec","Other Support Activities for WaterTransportation"
4785,488390,Inspection and Fixed Facilities,"Other Support Activities for WaterTransportation"
7699,488390,"Repair Services, Nec","Other Support Activities for WaterTransportation"
7549,488410,"Automotive Services, Nec",Motor Vehicle Towing
4173,488490,Bus Terminal and Service Facilities,"Other Support Activities for RoadTransportation"
4231,488490,Trucking Terminal Facilities,"Other Support Activities for RoadTransportation"
4785,488490,Inspection and Fixed Facilities,"Other Support Activities for RoadTransportation"
4959,488490,"Sanitary Services, Nec","Other Support Activities for RoadTransportation"
7389,488490,"Business Services, Nec","Other Support Activities for RoadTransportation"
4731,488510,Freight Transportation Arrangement,Freight Transportation Arrangement
4783,488991,Packing and Crating,Packing and Crating
4729,488999,Passenger Transportation Arrangement,"All Other Support Activities forTransportation"
4789,488999,"Transportation Services, Nec","All Other Support Activities forTransportation"
4311,491110,U.S. Postal Service,Postal Service
7389,491110,"Business Services, Nec",Postal Service
4215,492110,"Courier Services, Except By Air",Couriers and Express Delivery Services
4513,492110,Air Courier Services,Couriers and Express Delivery Services
4215,492210,"Courier Services, Except By Air",Local Messengers and Local Delivery
4225,493110,General Warehousing and Storage,General Warehousing and Storage
4226,493110,"Special Warehousing and Storage, Nec",General Warehousing and Storage
4222,493120,Refrigerated Warehousing and Storage,Refrigerated Warehousing and Storage
4221,493130,Farm Product Warehousing and Storage,Farm Product Warehousing and Storage
4226,493190,"Special Warehousing and Storage, Nec",Other Warehousing and Storage
2711,511110,Newspapers,Newspaper Publishers
2721,511120,Periodicals,Periodical Publishers
2741,511120,Miscellaneous Publishing,Periodical Publishers
2731,511130,Book Publishing,Book Publishers
2741,511130,Miscellaneous Publishing,Book Publishers
2741,511140,Miscellaneous Publishing,Directory and Mailing List Publishers
7331,511140,Direct Mail Advertising Services,Directory and Mailing List Publishers
2771,511191,Greeting Cards,Greeting Card Publishers
2741,511199,Miscellaneous Publishing,All Other Publishers
7372,511210,Prepackaged Software,Software Publishers
7812,512110,Motion Picture and Video Production,Motion Picture and Video Production
7822,512120,Motion Picture and Tape Distribution,Motion Picture and Video Distribution
7829,512120,Motion Picture Distribution Services,Motion Picture and Video Distribution
7832,512131,"Motion Picture Theaters, Except Drive-in",Motion Picture Theaters (except Drive-Ins)
7833,512132,Drive-in Motion Picture Theaters,Drive-In Motion Picture Theaters
7819,512191,Services Allied To Motion Pictures,"Teleproduction and Other PostproductionServices"
7819,512199,Services Allied To Motion Pictures,Other Motion Picture and Video Industries
7829,512199,Motion Picture Distribution Services,Other Motion Picture and Video Industries
2731,512230,Book Publishing,Music Publishers
2741,512230,Miscellaneous Publishing,Music Publishers
8999,512230,"Services, Nec",Music Publishers
7389,512240,"Business Services, Nec",Sound Recording Studios
3652,512250,Prerecorded Records and Tapes,Record Production and Distribution
8999,512250,"Services, Nec",Record Production and Distribution
7389,512290,"Business Services, Nec",Other Sound Recording Industries
7922,512290,Theatrical Producers and Services,Other Sound Recording Industries
4832,515111,Radio Broadcasting Stations,Radio Networks
4832,515112,Radio Broadcasting Stations,Radio Stations
4833,515120,Television Broadcasting Stations,Television Broadcasting
4841,515210,Cable and Other Pay Television Services,Cable and Other Subscription Programming
4813,517311,"Telephone Communication, Except Radio",Wired Telecommunications Carriers
4822,517311,Telegraph and Other Communications,Wired Telecommunications Carriers
4841,517311,Cable and Other Pay Television Services,Wired Telecommunications Carriers
7375,517311,Information Retrieval Services,Wired Telecommunications Carriers
4812,517312,Radiotelephone Communication,"Wireless Telecommunications Carriers(except Satellite)"
4899,517312,"Communication Services, Nec","Wireless Telecommunications Carriers(except Satellite)"
4899,517410,"Communication Services, Nec",Satellite Telecommunications
4812,517911,Radiotelephone Communication,Telecommunications Resellers
4813,517911,"Telephone Communication, Except Radio",Telecommunications Resellers
4899,517919,"Communication Services, Nec",All Other Telecommunications
7375,517919,Information Retrieval Services,All Other Telecommunications
7374,518210,Data Processing and Preparation,"Data Processing, Hosting, and RelatedServices"
7389,518210,"Business Services, Nec","Data Processing, Hosting, and RelatedServices"
7383,519110,News Syndicates,News Syndicates
7829,519120,Motion Picture Distribution Services,Libraries and Archives
8231,519120,Libraries,Libraries and Archives
2711,519130,Newspapers,"Internet Publishing and Broadcasting andWeb Search Portals"
2721,519130,Periodicals,"Internet Publishing and Broadcasting andWeb Search Portals"
2731,519130,Book Publishing,"Internet Publishing and Broadcasting andWeb Search Portals"
2741,519130,Miscellaneous Publishing,"Internet Publishing and Broadcasting andWeb Search Portals"
2771,519130,Greeting Cards,"Internet Publishing and Broadcasting andWeb Search Portals"
8999,519130,"Services, Nec","Internet Publishing and Broadcasting andWeb Search Portals"
8999,519130,"Services, Nec","Internet Publishing and Broadcasting andWeb Search Portals"
7389,519190,"Business Services, Nec",All Other Information Services
6011,521110,Federal Reserve Banks,Monetary Authorities-Central Bank
6021,522110,National Commercial Banks,Commercial Banking
6022,522110,State Commercial Banks,Commercial Banking
6029,522110,"Commercial Banks, Nec",Commercial Banking
6081,522110,Foreign Bank and Branches and Agencies,Commercial Banking
6035,522120,Federal Savings Institutions,Savings Institutions
6036,522120,"Savings Institutions, Except Federal",Savings Institutions
6061,522130,Federal Credit Unions,Credit Unions
6062,522130,State Credit Unions,Credit Unions
6022,522190,State Commercial Banks,Other Depository Credit Intermediation
6021,522210,National Commercial Banks,Credit Card Issuing
6022,522210,State Commercial Banks,Credit Card Issuing
6141,522210,Personal Credit Institutions,Credit Card Issuing
6153,522210,Short-term Business Credit,Credit Card Issuing
6141,522220,Personal Credit Institutions,Sales Financing
6153,522220,Short-term Business Credit,Sales Financing
6159,522220,Miscellaneous Business Credit,Sales Financing
6141,522291,Personal Credit Institutions,Consumer Lending
6111,522292,Federal and Federally Sponsored Credit,Real Estate Credit
6159,522292,Miscellaneous Business Credit,Real Estate Credit
6162,522292,Mortgage Bankers and Correspondents,Real Estate Credit
6081,522293,Foreign Bank and Branches and Agencies,International Trade Financing
6082,522293,Foreign Trade and International Banks,International Trade Financing
6111,522293,Federal and Federally Sponsored Credit,International Trade Financing
6159,522293,Miscellaneous Business Credit,International Trade Financing
6111,522294,Federal and Federally Sponsored Credit,Secondary Market Financing
6159,522294,Miscellaneous Business Credit,Secondary Market Financing
6019,522298,"Central Reserve Depository, Nec","All Other Nondepository CreditIntermediation"
6081,522298,Foreign Bank and Branches and Agencies,"All Other Nondepository CreditIntermediation"
6082,522298,Foreign Trade and International Banks,"All Other Nondepository CreditIntermediation"
6111,522298,Federal and Federally Sponsored Credit,"All Other Nondepository CreditIntermediation"
6141,522298,Personal Credit Institutions,"All Other Nondepository CreditIntermediation"
6153,522298,Short-term Business Credit,"All Other Nondepository CreditIntermediation"
6159,522298,Miscellaneous Business Credit,"All Other Nondepository CreditIntermediation"
6163,522310,Loan Brokers,Mortgage and Nonmortgage Loan Brokers
6099,522320,Functions Related To Depository Banking,"Financial Transactions Processing,Reserve, and Clearinghouse Activities"
6153,522320,Short-term Business Credit,"Financial Transactions Processing,Reserve, and Clearinghouse Activities"
7389,522320,"Business Services, Nec","Financial Transactions Processing,Reserve, and Clearinghouse Activities"
6099,522390,Functions Related To Depository Banking,"Other Activities Related to CreditIntermediation"
6162,522390,Mortgage Bankers and Correspondents,"Other Activities Related to CreditIntermediation"
6211,523110,Security Brokers and Dealers,Investment Banking and Securities Dealing
6211,523120,Security Brokers and Dealers,Securities Brokerage
6099,523130,Functions Related To Depository Banking,Commodity Contracts Dealing
6221,523130,"Commodity Contracts Brokers, Dealers",Commodity Contracts Dealing
6799,523130,"Investors, Nec",Commodity Contracts Dealing
6221,523140,"Commodity Contracts Brokers, Dealers",Commodity Contracts Brokerage
6231,523210,Security and Commodity Exchanges,Securities and Commodity Exchanges
6153,523910,Short-term Business Credit,Miscellaneous Intermediation
6211,523910,Security Brokers and Dealers,Miscellaneous Intermediation
6792,523910,Oil Royalty Traders,Miscellaneous Intermediation
6799,523910,"Investors, Nec",Miscellaneous Intermediation
6282,523920,Investment Advice,Portfolio Management
6371,523920,"Pension, Health, and Welfare Funds",Portfolio Management
6733,523920,"Trusts, Nec",Portfolio Management
6799,523920,"Investors, Nec",Portfolio Management
6282,523930,Investment Advice,Investment Advice
6091,523991,Nondeposit Trust Facilities,"Trust, Fiduciary, and Custody Activities"
6099,523991,Functions Related To Depository Banking,"Trust, Fiduciary, and Custody Activities"
6289,523991,Security and Commodity Service,"Trust, Fiduciary, and Custody Activities"
6733,523991,"Trusts, Nec","Trust, Fiduciary, and Custody Activities"
6211,523999,Security Brokers and Dealers,"Miscellaneous Financial InvestmentActivities"
6289,523999,Security and Commodity Service,"Miscellaneous Financial InvestmentActivities"
6311,524113,Life Insurance,Direct Life Insurance Carriers
6321,524114,Accident and Health Insurance,"Direct Health and Medical InsuranceCarriers"
6324,524114,Hospital and Medical Service Plans,"Direct Health and Medical InsuranceCarriers"
6331,524126,"Fire, Marine, and Casualty Insurance","Direct Property and Casualty InsuranceCarriers"
6351,524126,Surety Insurance,"Direct Property and Casualty InsuranceCarriers"
6361,524127,Title Insurance,Direct Title Insurance Carriers
6311,524128,Life Insurance,"Other Direct Insurance (except Life, Health,and Medical) Carriers"
6331,524128,"Fire, Marine, and Casualty Insurance","Other Direct Insurance (except Life, Health,and Medical) Carriers"
6351,524128,Surety Insurance,"Other Direct Insurance (except Life, Health,and Medical) Carriers"
6399,524128,"Insurance Carriers, Nec","Other Direct Insurance (except Life, Health,and Medical) Carriers"
6311,524130,Life Insurance,Reinsurance Carriers
6321,524130,Accident and Health Insurance,Reinsurance Carriers
6324,524130,Hospital and Medical Service Plans,Reinsurance Carriers
6331,524130,"Fire, Marine, and Casualty Insurance",Reinsurance Carriers
6351,524130,Surety Insurance,Reinsurance Carriers
6361,524130,Title Insurance,Reinsurance Carriers
6411,524210,"Insurance Agents, Brokers, and Service",Insurance Agencies and Brokerages
6411,524291,"Insurance Agents, Brokers, and Service",Claims Adjusting
6371,524292,"Pension, Health, and Welfare Funds","Third Party Administration of Insurance andPension Funds"
6411,524292,"Insurance Agents, Brokers, and Service","Third Party Administration of Insurance andPension Funds"
6411,524298,"Insurance Agents, Brokers, and Service",All Other Insurance Related Activities
6371,525110,"Pension, Health, and Welfare Funds",Pension Funds
6371,525120,"Pension, Health, and Welfare Funds",Health and Welfare Funds
6321,525190,Accident and Health Insurance,Other Insurance Funds
6324,525190,Hospital and Medical Service Plans,Other Insurance Funds
6331,525190,"Fire, Marine, and Casualty Insurance",Other Insurance Funds
6733,525190,"Trusts, Nec",Other Insurance Funds
6722,525910,"Management Investment, Open-ended",Open-End Investment Funds
6733,525920,"Trusts, Nec","Trusts, Estates, and Agency Accounts"
6371,525990,"Pension, Health, and Welfare Funds",Other Financial Vehicles
6726,525990,"Investment Offices, Nec",Other Financial Vehicles
6798,525990,Real Estate Investment Trusts,Other Financial Vehicles
6513,531110,Apartment Building Operators,"Lessors of Residential Buildings andDwellings"
6514,531110,"Dwelling Operators, Except Apartments","Lessors of Residential Buildings andDwellings"
6531,531110,Real Estate Agents and Managers,"Lessors of Residential Buildings andDwellings"
6798,531110,Real Estate Investment Trusts,"Lessors of Residential Buildings andDwellings"
6798,531120,Real Estate Investment Trusts,"Lessors of Nonresidential Buildings (exceptMiniwarehouses)"
4225,531130,General Warehousing and Storage,"Lessors of Miniwarehouses and Self-Storage Units"
6798,531130,Real Estate Investment Trusts,"Lessors of Miniwarehouses and Self-Storage Units"
6515,531190,Mobile Home Site Operators,Lessors of Other Real Estate Property
6517,531190,Railroad Property Lessors,Lessors of Other Real Estate Property
6519,531190,"Real Property Lessors, Nec",Lessors of Other Real Estate Property
6798,531190,Real Estate Investment Trusts,Lessors of Other Real Estate Property
6531,531210,Real Estate Agents and Managers,Offices of Real Estate Agents and Brokers
6531,531311,Real Estate Agents and Managers,Residential Property Managers
6531,531312,Real Estate Agents and Managers,Nonresidential Property Managers
6531,531320,Real Estate Agents and Managers,Offices of Real Estate Appraisers
6531,531390,Real Estate Agents and Managers,Other Activities Related to Real Estate
7514,532111,Passenger Car Rental,Passenger Car Rental
7515,532112,Passenger Car Leasing,Passenger Car Leasing
7513,532120,"Truck Rental and Leasing, Without Drivers","Truck, Utility Trailer, and RV (RecreationalVehicle) Rental and Leasing"
7519,532120,Utility Trailer Rental,"Truck, Utility Trailer, and RV (RecreationalVehicle) Rental and Leasing"
7359,532210,"Equipment Rental and Leasing, Nec","Consumer Electronics and AppliancesRental"
7299,532281,Miscellaneous Personal Services,Formal Wear and Costume Rental
7819,532281,Services Allied To Motion Pictures,Formal Wear and Costume Rental
7841,532282,Video Tape Rental,Video Tape and Disc Rental
7352,532283,Medical Equipment Rental,Home Health Equipment Rental
7999,532284,"Amusement and Recreation, Nec",Recreational Goods Rental
7359,532289,"Equipment Rental and Leasing, Nec",All Other Consumer Goods Rental
7359,532310,"Equipment Rental and Leasing, Nec",General Rental Centers
4499,532411,"Water Transportation Services, Nec","Commercial Air, Rail, and WaterTransportation Equipment Rental andLeasing"
4741,532411,Rental of Railroad Cars,"Commercial Air, Rail, and WaterTransportation Equipment Rental andLeasing"
7359,532411,"Equipment Rental and Leasing, Nec","Commercial Air, Rail, and WaterTransportation Equipment Rental andLeasing"
7353,532412,Heavy Construction Equipment Rental,"Construction, Mining, and ForestryMachinery and Equipment Rental andLeasing"
7359,532412,"Equipment Rental and Leasing, Nec","Construction, Mining, and ForestryMachinery and Equipment Rental andLeasing"
7359,532420,"Equipment Rental and Leasing, Nec","Office Machinery and Equipment Rentaland Leasing"
7377,532420,Computer Rental and Leasing,"Office Machinery and Equipment Rentaland Leasing"
7359,532490,"Equipment Rental and Leasing, Nec","Other Commercial and Industrial Machineryand Equipment Rental and Leasing"
7819,532490,Services Allied To Motion Pictures,"Other Commercial and Industrial Machineryand Equipment Rental and Leasing"
7922,532490,Theatrical Producers and Services,"Other Commercial and Industrial Machineryand Equipment Rental and Leasing"
6792,533110,Oil Royalty Traders,"Lessors of Nonfinancial Intangible Assets(except Copyrighted Works)"
6794,533110,Patent Owners and Lessors,"Lessors of Nonfinancial Intangible Assets(except Copyrighted Works)"
8111,541110,Legal Services,Offices of Lawyers
Aux,541120,,Offices of Notaries
6541,541191,Title abstract Offices,Title Abstract and Settlement Offices
7389,541199,"Business Services, Nec",All Other Legal Services
8721,541211,"Accounting, Auditing, and Bookkeeping",Offices of Certified Public Accountants
7291,541213,Tax Return Preparation Services,Tax Preparation Services
7819,541214,Services Allied To Motion Pictures,Payroll Services
8721,541214,"Accounting, Auditing, and Bookkeeping",Payroll Services
8721,541219,"Accounting, Auditing, and Bookkeeping",Other Accounting Services
8712,541310,Architectural Services,Architectural Services
781,541320,Landscape Counseling and Planning,Landscape Architectural Services
8748,541320,"Business Consulting, Nec",Landscape Architectural Services
8711,541330,Engineering Services,Engineering Services
8748,541330,"Business Consulting, Nec",Engineering Services
7389,541340,"Business Services, Nec",Drafting Services
7389,541350,"Business Services, Nec",Building Inspection Services
1081,541360,Metal Mining Services,"Geophysical Surveying and MappingServices"
1382,541360,Oil and Gas Exploration Services,"Geophysical Surveying and MappingServices"
1481,541360,Nonmetallic Mineral Services,"Geophysical Surveying and MappingServices"
8713,541360,Surveying Services,"Geophysical Surveying and MappingServices"
7389,541370,"Business Services, Nec","Surveying and Mapping (exceptGeophysical) Services"
8713,541370,Surveying Services,"Surveying and Mapping (exceptGeophysical) Services"
8734,541380,Testing Laboratories,Testing Laboratories
7389,541410,"Business Services, Nec",Interior Design Services
7389,541420,"Business Services, Nec",Industrial Design Services
7336,541430,Commercial Art and Graphic Design,Graphic Design Services
8099,541430,"Health and Allied Services, Nec",Graphic Design Services
7389,541490,"Business Services, Nec",Other Specialized Design Services
7371,541511,Custom Computer Programming Services,Custom Computer Programming Services
7373,541512,Computer Integrated Systems Design,Computer Systems Design Services
7379,541512,"Computer Related Services, Nec",Computer Systems Design Services
7376,541513,Computer Facilities Management,Computer Facilities Management Services
8742,541611,Management Consulting Services,"Administrative Management and GeneralManagement Consulting Services"
7361,541612,Employment Agencies,Human Resources Consulting Services
8742,541612,Management Consulting Services,Human Resources Consulting Services
8999,541612,"Services, Nec",Human Resources Consulting Services
8742,541613,Management Consulting Services,Marketing Consulting Services
4731,541614,Freight Transportation Arrangement,"Process, Physical Distribution, andLogistics Consulting Services"
8742,541614,Management Consulting Services,"Process, Physical Distribution, andLogistics Consulting Services"
8748,541618,"Business Consulting, Nec",Other Management Consulting Services
8999,541620,"Services, Nec",Environmental Consulting Services
781,541690,Landscape Counseling and Planning,"Other Scientific and Technical ConsultingServices"
7819,541690,Services Allied To Motion Pictures,"Other Scientific and Technical ConsultingServices"
8748,541690,"Business Consulting, Nec","Other Scientific and Technical ConsultingServices"
8999,541690,"Services, Nec","Other Scientific and Technical ConsultingServices"
3721,541713,"Aircraft (research and development notproducing prototypes)","Research and Development inNanotechnology"
3724,541713,"Aircraft Engines and Engine Parts(research and development not producingprototypes)","Research and Development inNanotechnology"
3728,541713,"Aircraft Parts and Auxiliary Equipment,NEC (research and development notproducing prototypes)","Research and Development inNanotechnology"
3761,541713,"Guided Missiles and Space Vehicles(research and development not producingprototypes)","Research and Development inNanotechnology"
3764,541713,"Space Propulsion Units and Parts(research and development not producingprototypes)","Research and Development inNanotechnology"
3769,541713,"Space Vehicle Equipment, Nec (researchand development not producingprototypes)","Research and Development inNanotechnology"
8731,541713,Commercial Physical Research,"Research and Development inBiotechnology (except Nanobiotechnology)"
8733,541713,Noncommercial Research Organizations,"Research and Development inBiotechnology (except Nanobiotechnology)"
8731,541714,Commercial Physical Research,"Research and Development inBiotechnology (except Nanobiotechnology)"
8733,541714,Noncommercial Research Organizations,"Research and Development inBiotechnology (except Nanobiotechnology)"
8733,541715,Noncommercial Research Organizations,"Research and Development in the Physical,Engineering, and Life Sciences (exceptNanotechnology and Biotechnology)"
8732,541720,Commercial Nonphysical Research,"Research and Development in the SocialSciences and Humanities"
8733,541720,Noncommercial Research Organizations,"Research and Development in the SocialSciences and Humanities"
7311,541810,Advertising Agencies,Advertising Agencies
8743,541820,Public Relations Services,Public Relations Agencies
7319,541830,"Advertising, Nec",Media Buying Agencies
7313,541840,"Radio, Television, PublisherRepresentatives",Media Representatives
7312,541850,Outdoor Advertising Services,Outdoor Advertising
7319,541850,"Advertising, Nec",Outdoor Advertising
7331,541860,Direct Mail Advertising Services,Direct Mail Advertising
7319,541870,"Advertising, Nec",Advertising Material Distribution Services
7389,541870,"Business Services, Nec",Advertising Material Distribution Services
5199,541890,"Nondurable Goods, Nec",Other Services Related to Advertising
7319,541890,"Advertising, Nec",Other Services Related to Advertising
7389,541890,"Business Services, Nec",Other Services Related to Advertising
8732,541910,Commercial Nonphysical Research,"Marketing Research and Public OpinionPolling"
7221,541921,"Photographic Studios, Portrait","Photography Studios, Portrait"
7335,541922,Commercial Photography,Commercial Photography
8099,541922,"Health and Allied Services, Nec",Commercial Photography
7389,541930,"Business Services, Nec",Translation and Interpretation Services
741,541940,Veterinary Services For Livestock,Veterinary Services
742,541940,"Veterinary Services, Specialties",Veterinary Services
8734,541940,Testing Laboratories,Veterinary Services
4499,541990,"Water Transportation Services, Nec","All Other Professional, Scientific, andTechnical Services"
7299,541990,Miscellaneous Personal Services,"All Other Professional, Scientific, andTechnical Services"
7389,541990,"Business Services, Nec","All Other Professional, Scientific, andTechnical Services"
8999,541990,"Services, Nec","All Other Professional, Scientific, andTechnical Services"
6712,551111,Bank Holding Companies,Offices of Bank Holding Companies
6719,551112,"Holding Companies, Nec",Offices of Other Holding Companies
Aux,551114,,"Corporate, Subsidiary, and RegionalManaging Offices"
8741,561110,Management Services,Office Administrative Services
8744,561210,Facilities Support Services,Facilities Support Services
7299,561311,Miscellaneous Personal Services,Employment Placement Agencies
7361,561311,Employment Agencies,Employment Placement Agencies
7819,561311,Services Allied To Motion Pictures,Employment Placement Agencies
7922,561311,Theatrical Producers and Services,Employment Placement Agencies
7361,561312,Employment Agencies,Executive Search Services
8742,561312,Management Consulting Services,Executive Search Services
8999,561312,"Services, Nec",Executive Search Services
7389,561990,"Business Services, Nec",All Other Support Services
4212,562111,"Local Trucking, Without Storage",Solid Waste Collection
4212,562112,"Local Trucking, Without Storage",Hazardous Waste Collection
4212,562119,"Local Trucking, Without Storage",Other Waste Collection
4953,562211,Refuse Systems,Hazardous Waste Treatment and Disposal
4953,562212,Refuse Systems,Solid Waste Landfill
4953,562213,Refuse Systems,Solid Waste Combustors and Incinerators
4953,562219,Refuse Systems,"Other Nonhazardous Waste Treatment andDisposal"
1799,562910,"Special Trade Contractors, Nec",Remediation Services
4959,562910,"Sanitary Services, Nec",Remediation Services
4953,562920,Refuse Systems,Materials Recovery Facilities
7359,562991,"Equipment Rental and Leasing, Nec",Septic Tank and Related Services
7699,562991,"Repair Services, Nec",Septic Tank and Related Services
4959,562998,"Sanitary Services, Nec","All Other Miscellaneous WasteManagement Services"
7699,562998,"Repair Services, Nec","All Other Miscellaneous WasteManagement Services"
8211,611110,Elementary and Secondary Schools,Elementary and Secondary Schools
8222,611210,Junior Colleges,Junior Colleges
8221,611310,Colleges and Universities,"Colleges, Universities, and ProfessionalSchools"
8244,611410,Business and Secretarial Schools,Business and Secretarial Schools
8243,611420,Data Processing Schools,Computer Training
8299,611430,Schools and Educational Services,"Professional and ManagementDevelopment Training"
7231,611511,Beauty Shops,Cosmetology and Barber Schools
7241,611511,Barber Shops,Cosmetology and Barber Schools
8249,611512,"Vocational Schools, Nec",Flight Training
8299,611512,Schools and Educational Services,Flight Training
8249,611513,"Vocational Schools, Nec",Apprenticeship Training
8243,611519,Data Processing Schools,Other Technical and Trade Schools
8249,611519,"Vocational Schools, Nec",Other Technical and Trade Schools
8299,611519,Schools and Educational Services,Other Technical and Trade Schools
7911,611610,"Dance Studios, Schools, and Halls",Fine Arts Schools
8299,611610,Schools and Educational Services,Fine Arts Schools
7999,611620,"Amusement and Recreation, Nec",Sports and Recreation Instruction
8299,611620,Schools and Educational Services,Sports and Recreation Instruction
8299,611630,Schools and Educational Services,Language Schools
8299,611691,Schools and Educational Services,Exam Preparation and Tutoring
8299,611692,Schools and Educational Services,Automobile Driving Schools
7999,611699,"Amusement and Recreation, Nec","All Other Miscellaneous Schools andInstruction"
8299,611699,Schools and Educational Services,"All Other Miscellaneous Schools andInstruction"
8299,611710,Schools and Educational Services,Educational Support Services
8748,611710,"Business Consulting, Nec",Educational Support Services
8011,621111,Offices and Clinics of Medical Doctors,"Offices of Physicians (except Mental HealthSpecialists)"
8011,621112,Offices and Clinics of Medical Doctors,"Offices of Physicians, Mental HealthSpecialists"
8031,621112,"Offices and Clinics of OsteopathicPhysicians","Offices of Physicians, Mental HealthSpecialists"
8021,621210,Offices and Clinics of Dentists,Offices of Dentists
8041,621310,Offices and Clinics of Chiropractors,Offices of Chiropractors
8042,621320,Offices and Clinics of Optometrists,Offices of Optometrists
8049,621330,Offices of Health Practitioner,"Offices of Mental Health Practitioners(except Physicians)"
8049,621340,Offices of Health Practitioner,"Offices of Physical, Occupational andSpeech Therapists, and Audiologists"
8043,621391,Offices and Clinics of Podiatrists,Offices of Podiatrists
8049,621399,Offices of Health Practitioner,"Offices of All Other Miscellaneous HealthPractitioners"
8093,621399,"Specialty Outpatient Clinics, Nec","Offices of All Other Miscellaneous HealthPractitioners"
8093,621410,"Specialty Outpatient Clinics, Nec",Family Planning Centers
8099,621410,"Health and Allied Services, Nec",Family Planning Centers
8093,621420,"Specialty Outpatient Clinics, Nec","Outpatient Mental Health and SubstanceAbuse Centers"
8011,621491,Offices and Clinics of Medical Doctors,HMO Medical Centers
8092,621492,Kidney Dialysis Centers,Kidney Dialysis Centers
8011,621493,Offices and Clinics of Medical Doctors,"Freestanding Ambulatory Surgical andEmergency Centers"
8093,621498,"Specialty Outpatient Clinics, Nec",All Other Outpatient Care Centers
8071,621511,Medical Laboratories,Medical Laboratories
8071,621512,Medical Laboratories,Diagnostic Imaging Centers
8082,621610,Home Health Care Services,Home Health Care Services
4119,621910,"Local Passenger Transportation, Nec",Ambulance Services
4522,621910,"Air Transportation, Nonscheduled",Ambulance Services
8099,621991,"Health and Allied Services, Nec",Blood and Organ Banks
8099,621999,"Health and Allied Services, Nec","All Other Miscellaneous Ambulatory HealthCare Services"
8062,622110,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals
8069,622110,"Specialty Hospitals, Except Psychiatric",General Medical and Surgical Hospitals
8063,622210,Psychiatric Hospitals,Psychiatric and Substance Abuse Hospitals
8069,622210,"Specialty Hospitals, Except Psychiatric",Psychiatric and Substance Abuse Hospitals
8069,622310,"Specialty Hospitals, Except Psychiatric","Specialty (except Psychiatric andSubstance Abuse) Hospitals"
8051,623110,Skilled Nursing Care Facilities,"Nursing Care Facilities (Skilled NursingFacilities)"
8052,623110,Intermediate Care Facilities,"Nursing Care Facilities (Skilled NursingFacilities)"
8059,623110,"Nursing and Personal Care, Nec","Nursing Care Facilities (Skilled NursingFacilities)"
